"modelo","especificacion","metodo","k","cod_mun","Municipio","directo","varianza","base","robusto","dif_pp"
"M2_reblup_1.345","M2","reblup",1.345,"76364","Jamundí",0.206298512477446,0.0004189397962523,0.205584440541501,0.204999924082892,-0.0585
"M2_reblup_1.345","M2","reblup",1.345,"76377","La Cumbre",0.147708363582434,0.000671669477971967,0.178894682413147,0.173208704909146,-0.5686
"M2_reblup_1.345","M2","reblup",1.345,"76400","La Unión",0.310276615368601,0.00342017791874781,0.255979884678487,0.253656902571975,-0.2323
"M2_reblup_1.345","M2","reblup",1.345,"76403","La Victoria",0.287579897258377,0.002780134667461,0.27983039672089,0.280787665106362,0.0957
"M2_reblup_1.345","M2","reblup",1.345,"76497","Obando",0.299571729054856,0.00338762851003235,0.279480116007921,0.281231723214175,0.1752
"M2_reblup_1.345","M2","reblup",1.345,"76520","Palmira",0.20769656033191,0.000474489227823819,0.205408850756519,0.205252035334346,-0.0157
"M2_reblup_1.345","M2","reblup",1.345,"76563","Pradera",0.201095575249391,0.000748063028251591,0.221376560524645,0.222213213362189,0.0837
"M2_reblup_1.345","M2","reblup",1.345,"76606","Restrepo",0.241473632865204,0.00193665234623158,0.268220036950585,0.26866674397751,0.0447
"M2_reblup_1.345","M2","reblup",1.345,"76616","Riofrío",0.267094353991267,0.00301350780737849,0.274483771024274,0.277056853419748,0.2573
"M2_reblup_1.345","M2","reblup",1.345,"76622","Roldanillo",0.2727397133463,0.00302149717701241,0.25747450147665,0.255724755944327,-0.175
"M2_reblup_1.345","M2","reblup",1.345,"76670","San Pedro",0.170695610315552,0.00135418430389911,0.164723427474968,0.165540800994557,0.0817
"M2_reblup_1.345","M2","reblup",1.345,"76736","Sevilla",0.345379631579637,0.00442288946164869,0.316989530448915,0.315734881282614,-0.1255
"M2_reblup_1.345","M2","reblup",1.345,"76823","Toro",0.373203694453804,0.00595275965217131,0.328455809880192,0.32687976077691,-0.1576
"M2_reblup_1.345","M2","reblup",1.345,"76828","Trujillo",0.362514157334695,0.00426434326788694,0.351819485894908,0.354087611823784,0.2268
"M2_reblup_1.345","M2","reblup",1.345,"76834","Tuluá",0.257428514132288,0.000541228123605218,0.249647945158399,0.249196556871778,-0.0451
"M2_reblup_1.345","M2","reblup",1.345,"76845","Ulloa",0.221857831780414,0.00181330774393671,0.238761677323377,0.240033187300347,0.1272
"M2_reblup_1.345","M2","reblup",1.345,"76863","Versalles",0.399069270481297,0.00627345521663673,0.359514047698966,0.361034607865119,0.1521
"M2_reblup_1.345","M2","reblup",1.345,"76869","Vijes",0.236087412061672,0.00135481929033369,0.251496545786694,0.251796883014318,0.03
"M2_reblup_1.345","M2","reblup",1.345,"76890","Yotoco",0.203630228528829,0.00057285157923096,0.209190829794882,0.209248245209814,0.0057
"M2_reblup_1.345","M2","reblup",1.345,"76892","Yumbo",0.281760420447449,0.000159370438125575,0.277056764175072,0.276505755807635,-0.0551
"M2_reblup_1.345","M2","reblup",1.345,"76895","Zarzal",0.18600007617763,0.000685163978077271,0.185168129184664,0.185310757351571,0.0143
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19001","Popayán",0.387999218684024,0.000107894536586391,0.386875417175038,0.386928641896159,0.0053
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19022","Almaguer",0.562525352371654,0.0136491858851204,0.508812683260525,0.509132839480474,0.032
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19050","Argelia",0.238909085592395,0.00235774527420282,0.298446493750077,0.287465704854889,-1.0981
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19075","Balboa",0.45010901827639,0.0122073320924848,0.44031491239153,0.43991008313087,-0.0405
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19100","Bolívar",0.500368429949404,0.00628201529723791,0.43689037245419,0.435501437539929,-0.1389
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19110","Buenos Aires",0.449296998852418,0.0100005839773152,0.434683768589219,0.435630929858052,0.0947
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19130","Cajibío",0.508721465589494,0.00729331691925184,0.431912670139192,0.427918541367143,-0.3994
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19137","Caldono",0.553082146130063,0.0111952566482734,0.641142675439676,0.641539358167968,0.0397
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19142","Caloto",0.381381786380106,0.00530551647503933,0.402388068339002,0.40388509339935,0.1497
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19212","Corinto",0.313138472537286,0.00376871935286487,0.34354491334888,0.345102732584743,0.1558
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19256","El Tambo",0.534467488422076,0.00254281929597808,0.455069266499483,0.48404111341873,2.8972
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19290","Florencia",0.523549226857493,0.0139109248008639,0.528577764452981,0.533121412066137,0.4544
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19300","Guachené",0.314021505745962,0.000861410426553789,0.327383070236201,0.327570891593308,0.0188
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19318","Guapi",0.549766265076062,0.00512038748396201,0.627846114813621,0.621323147931326,-0.6523
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19355","Inzá",0.504403345724611,0.0149002890445202,0.448781542888882,0.448200523161557,-0.0581
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19364","Jambaló",0.619395990544596,0.0106645305442734,0.654811735622797,0.656834146847275,0.2022
"M2_reblupbc_1.345","M2","reblupbc",1.345,"19392","La Sierra",0.513091533789568,0.0116592285221911,0.465682129086615,0.464390081263183,-0.1292
